date_time,temperature
2020-04-29 11:03:22.125996,23.937,24.437
2020-04-29 11:04:23.963104,23.937,24.437
2020-04-29 11:05:26.683158,23.937,24.437
2020-04-29 11:06:28.523736,23.937,24.437
2020-04-29 11:07:30.362122,23.937,24.437
2020-04-29 11:08:32.207246,23.937,24.437
2020-04-29 11:09:34.045473,23.937,24.437
2020-04-29 11:10:36.763121,23.937,24.437
2020-04-29 11:11:38.608933,23.937,24.437
2020-04-29 11:12:40.443146,23.937,24.437
2020-04-29 11:13:42.283107,23.937,24.437
2020-04-29 11:14:44.125526,23.937,24.437
2020-04-29 11:15:45.963039,23.937,24.437
2020-04-29 11:16:47.803063,23.937,24.437
2020-04-29 11:17:49.643080,23.937,24.437
2020-04-29 11:18:54.123094,23.937,24.437
2020-04-29 11:19:57.725241,23.937,24.437
2020-04-29 11:20:59.563065,23.937,24.437
2020-04-29 11:22:01.402111,23.937,24.437
2020-04-29 11:23:03.243012,23.937,24.437
2020-04-29 11:24:05.087316,23.937,24.437
2020-04-29 11:25:06.927389,23.937,24.437
2020-04-29 11:26:08.763052,23.937,24.437
2020-04-29 11:27:10.603209,23.937,24.437
2020-04-29 11:28:12.443006,23.937,24.437
2020-04-29 11:29:14.283106,23.937,24.437
2020-04-29 11:30:17.003095,23.937,24.437
2020-04-29 11:31:18.842122,23.937,24.437
2020-04-29 11:32:20.683051,23.937,24.437
2020-04-29 11:33:22.523478,23.937,24.437
2020-04-29 11:34:24.362099,23.937,24.437
2020-04-29 11:35:27.083070,23.937,24.437
2020-04-29 11:36:28.925822,23.937,24.437
2020-04-29 11:37:30.763121,23.937,24.437
2020-04-29 11:38:32.612747,23.937,24.437
2020-04-29 11:39:35.322170,23.937,24.437
2020-04-29 11:40:37.163057,23.937,24.437
2020-04-29 11:41:39.002129,23.937,24.437
2020-04-29 11:42:40.843713,23.937,24.437
2020-04-29 11:43:42.683112,23.937,24.437
2020-04-29 11:44:44.525227,23.937,24.437
2020-04-29 11:45:46.442146,23.937,24.437
2020-04-29 11:46:50.043099,23.937,24.437
2020-04-29 11:47:51.887072,23.937,24.437
2020-04-29 11:48:53.803032,23.937,24.437
2020-04-29 11:49:55.643060,23.937,24.437
2020-04-29 11:50:57.482991,23.937,24.437
2020-04-29 11:51:59.325465,23.937,24.437
2020-04-29 11:53:01.167662,23.937,24.437
2020-04-29 11:54:03.007683,23.937,24.437
2020-04-29 11:55:04.843102,23.937,24.437
2020-04-29 11:56:06.683085,23.937,24.437
2020-04-29 11:57:08.527221,23.937,24.437
2020-04-29 11:58:10.363057,23.937,24.437
2020-04-29 11:59:12.205472,23.937,24.437
2020-04-29 12:00:14.925256,23.937,24.437
2020-04-29 12:01:16.763107,23.937,24.437
2020-04-29 12:02:19.483089,23.937,24.437
2020-04-29 12:03:21.323057,23.937,24.437
2020-04-29 12:04:23.163055,23.937,24.437
2020-04-29 12:05:25.883073,24.0,24.437
2020-04-29 12:06:27.723114,23.937,24.437
2020-04-29 12:07:29.563820,24.0,24.437
2020-04-29 12:08:31.403060,24.0,24.437
2020-04-29 12:09:33.242993,24.0,24.437
2020-04-29 12:10:35.082140,23.937,24.437
2020-04-29 12:11:36.923058,23.937,24.437
2020-04-29 12:12:38.763143,23.937,24.437
2020-04-29 12:13:40.602116,23.937,24.437
2020-04-29 12:14:42.443127,23.937,24.437
2020-04-29 12:15:44.285488,23.937,24.437
2020-04-29 12:16:46.122070,23.937,24.437
2020-04-29 12:17:47.963109,23.937,24.437
2020-04-29 12:18:49.803073,23.937,24.437
2020-04-29 12:19:51.643844,23.937,24.437
2020-04-29 12:20:53.493138,24.0,24.437
2020-04-29 12:21:55.323094,24.0,24.437
2020-04-29 12:22:57.167523,24.0,24.437
2020-04-29 12:23:59.003024,24.0,24.437
2020-04-29 12:25:00.843059,24.0,24.437
2020-04-29 12:26:03.563065,24.0,24.437
2020-04-29 12:27:05.402993,23.937,24.437
2020-04-29 12:28:07.250535,23.937,24.437
2020-04-29 12:29:09.083047,23.937,24.437
2020-04-29 12:30:10.923051,23.937,24.437
2020-04-29 12:31:12.765553,23.937,24.437
2020-04-29 12:32:14.603094,23.937,24.437
2020-04-29 12:33:16.449896,23.937,24.437
2020-04-29 12:34:19.247374,23.937,24.437
2020-04-29 12:35:21.083008,23.937,24.437
2020-04-29 12:36:23.803098,23.937,24.437
2020-04-29 12:37:25.643472,23.937,24.437
2020-04-29 12:38:28.363098,23.937,24.437
2020-04-29 12:39:30.205339,23.937,24.437
2020-04-29 12:40:32.043090,23.937,24.437
2020-04-29 12:41:34.762163,23.937,24.437
2020-04-29 12:42:36.603091,23.937,24.437
2020-04-29 12:43:38.443144,23.937,24.437
2020-04-29 12:44:40.282111,23.937,24.437
2020-04-29 12:45:43.003055,23.937,24.437
2020-04-29 12:46:45.722089,23.937,24.437
2020-04-29 12:47:47.563099,23.937,24.437
2020-04-29 12:48:49.405443,23.875,24.437
2020-04-29 12:49:51.282131,23.875,24.437
2020-04-29 12:50:53.085295,23.875,24.437
2020-04-29 12:51:54.923068,23.875,24.437
2020-04-29 12:52:56.762113,23.875,24.437
2020-04-29 12:53:58.603076,23.875,24.437
2020-04-29 12:55:00.443244,23.875,24.437
2020-04-29 12:56:03.163054,23.875,24.437
2020-04-29 12:57:05.003091,23.875,24.437
2020-04-29 12:58:06.849299,23.875,24.437
2020-04-29 12:59:08.683069,23.875,24.437
2020-04-29 13:00:10.525481,23.875,24.437
2020-04-29 13:01:13.242132,23.875,24.437
2020-04-29 13:02:15.085273,23.875,24.437
2020-04-29 13:03:17.803070,23.875,24.437
2020-04-29 13:04:19.643069,23.875,24.437
2020-04-29 13:05:22.363020,23.875,24.437
2020-04-29 13:06:24.202111,23.875,24.437
2020-04-29 13:07:25.963021,23.875,24.437
2020-04-29 13:08:28.723028,23.875,24.437
2020-04-29 13:09:30.523067,23.812,24.437
2020-04-29 13:10:32.365538,23.812,24.437
2020-04-29 13:11:34.208514,23.812,24.437
2020-04-29 13:12:36.923075,23.812,24.437
2020-04-29 13:13:38.762095,23.812,24.437
2020-04-29 13:14:40.603375,23.812,24.437
2020-04-29 13:15:43.329963,23.812,24.437
2020-04-29 13:16:45.163140,23.812,24.437
2020-04-29 13:17:47.007077,23.812,24.437
2020-04-29 13:18:48.846649,23.875,24.437
2020-04-29 13:19:50.683082,23.875,24.437
2020-04-29 13:20:53.403086,23.875,24.437
2020-04-29 13:21:55.243061,23.812,24.437
2020-04-29 13:22:57.085539,23.812,24.437
2020-04-29 13:23:59.807029,23.812,24.437
2020-04-29 13:25:01.642129,23.75,24.437
2020-04-29 13:26:03.483524,23.75,24.437
2020-04-29 13:27:07.082086,23.75,24.437
2020-04-29 13:28:08.923087,23.75,24.437
2020-04-29 13:29:10.763078,23.75,24.437
2020-04-29 13:30:13.483088,23.75,24.437
2020-04-29 13:31:15.325295,23.75,24.437
2020-04-29 13:32:17.163050,23.75,24.437
2020-04-29 13:33:19.883108,23.75,24.437
2020-04-29 13:34:22.605693,23.75,24.437
2020-04-29 13:35:24.443055,23.75,24.437
2020-04-29 13:36:26.285170,23.75,24.437
2020-04-29 13:37:28.123078,23.75,24.437
2020-04-29 13:38:29.963057,23.75,24.437
2020-04-29 13:39:31.807721,23.75,24.437
2020-04-29 13:40:33.645437,23.75,24.437
2020-04-29 13:41:35.485262,23.75,24.437
2020-04-29 13:42:37.323058,23.75,24.437
2020-04-29 13:43:39.162218,23.75,24.437
2020-04-29 13:44:41.005237,23.75,24.437
2020-04-29 13:45:42.850150,23.75,24.437
2020-04-29 13:46:44.692163,23.75,24.437
2020-04-29 13:47:47.403048,23.75,24.437
2020-04-29 13:48:49.243055,23.75,24.437
2020-04-29 13:49:51.083990,23.75,24.437
2020-04-29 13:50:52.923028,23.75,24.437
2020-04-29 13:51:54.803091,23.75,24.437
2020-04-29 13:52:56.603341,23.75,24.437
2020-04-29 13:53:58.451040,23.75,24.437
2020-04-29 13:55:00.283102,23.75,24.437
2020-04-29 13:56:02.125407,23.75,24.437
2020-04-29 13:57:03.963025,23.75,24.437
2020-04-29 13:58:05.805385,23.75,24.437
2020-04-29 13:59:07.643173,23.75,24.437
2020-04-29 14:00:09.483035,23.75,24.437
2020-04-29 14:01:11.323094,23.75,24.437
2020-04-29 14:02:14.043073,23.75,24.437
2020-04-29 14:03:15.885259,23.75,24.437
2020-04-29 14:04:18.603072,23.75,24.437
2020-04-29 14:05:20.443098,23.75,24.437
2020-04-29 14:06:23.162120,23.75,24.437
2020-04-29 14:07:25.003103,23.75,24.437
2020-04-29 14:08:26.843080,23.75,24.437
2020-04-29 14:09:28.682072,23.75,24.437
2020-04-29 14:10:30.525300,23.75,24.437
2020-04-29 14:11:32.363037,23.75,24.437
2020-04-29 14:12:36.843093,23.812,24.437
2020-04-29 14:13:38.842143,23.75,24.437
2020-04-29 14:14:40.683363,23.812,24.437
2020-04-29 14:15:42.523124,23.812,24.437
2020-04-29 14:16:45.242120,23.812,24.437
2020-04-29 14:17:47.085563,23.812,24.437
2020-04-29 14:18:48.923065,23.812,24.437
2020-04-29 14:19:50.764865,23.812,24.437
2020-04-29 14:20:52.523052,23.812,24.437
2020-04-29 14:21:54.363040,23.812,24.437
2020-04-29 14:22:57.090206,23.812,24.437
2020-04-29 14:23:58.928255,23.812,24.437
2020-04-29 14:25:00.763072,23.812,24.437
2020-04-29 14:26:02.605242,23.812,24.437
2020-04-29 14:27:04.445273,23.812,24.437
2020-04-29 14:28:06.285017,23.812,24.437
2020-04-29 14:29:08.123043,23.812,24.437
2020-04-29 14:30:09.966641,23.812,24.437
2020-04-29 14:31:11.803079,23.812,24.437
2020-04-29 14:32:13.645309,23.812,24.437
2020-04-29 14:33:16.363058,23.812,24.437
2020-04-29 14:34:18.205469,23.812,24.437
2020-04-29 14:35:20.923039,23.812,24.437
2020-04-29 14:36:23.643125,23.812,24.437
2020-04-29 14:37:25.483042,23.875,24.437
2020-04-29 14:38:28.202115,23.875,24.437
2020-04-29 14:39:30.043071,23.875,24.437
2020-04-29 14:40:31.885529,23.875,24.437
2020-04-29 14:41:34.603073,23.875,24.437
2020-04-29 14:42:36.447232,23.875,24.437
2020-04-29 14:43:38.283055,23.875,24.437
2020-04-29 14:44:40.123109,23.875,24.437
2020-04-29 14:45:41.963085,23.875,24.437
2020-04-29 14:46:43.807386,23.875,24.437
2020-04-29 14:47:46.523082,23.875,24.437
2020-04-29 14:48:48.365350,23.875,24.437
2020-04-29 14:49:50.202153,23.875,24.437
2020-04-29 14:50:52.045436,23.875,24.437
2020-04-29 14:51:53.887689,23.875,24.437
2020-04-29 14:52:55.722114,23.875,24.437
2020-04-29 14:53:57.563075,23.937,24.437
2020-04-29 14:54:59.403064,23.937,24.437
2020-04-29 14:56:01.242125,23.937,24.437
2020-04-29 14:57:03.085667,23.937,24.437
2020-04-29 14:58:04.923089,23.937,24.437
2020-04-29 14:59:06.762123,23.937,24.437
2020-04-29 15:00:08.605524,23.937,24.437
2020-04-29 15:01:10.523049,23.937,24.437
2020-04-29 15:02:12.362112,23.937,24.437
2020-04-29 15:03:14.207083,23.937,24.437
2020-04-29 15:04:16.043089,23.937,24.437
2020-04-29 15:05:17.882143,23.937,24.437
2020-04-29 15:06:19.723077,23.937,24.437
2020-04-29 15:07:21.563056,23.937,24.437
2020-04-29 15:08:24.283068,24.0,24.437
2020-04-29 15:09:26.123061,24.0,24.437
2020-04-29 15:10:27.963113,23.937,24.437
2020-04-29 15:11:29.803096,24.0,24.437
2020-04-29 15:12:31.648078,24.0,24.437
2020-04-29 15:13:33.483050,24.0,24.437
2020-04-29 15:14:35.323072,24.0,24.437
2020-04-29 15:15:37.166472,24.0,24.437
2020-04-29 15:16:39.883150,24.0,24.437
2020-04-29 15:17:41.723001,24.0,24.437
2020-04-29 15:18:44.445424,24.0,24.437
2020-04-29 15:19:46.283097,24.0,24.437
2020-04-29 15:20:48.123003,24.0,24.437
2020-04-29 15:21:49.972268,24.0,24.437
2020-04-29 15:22:51.883137,24.0,24.437
2020-04-29 15:23:53.725335,24.0,24.437
2020-04-29 15:24:55.563900,24.0,24.437
2020-04-29 15:25:57.403027,24.0,24.437
2020-04-29 15:26:59.243060,24.062,24.437
2020-04-29 15:28:01.082182,24.062,24.437
2020-04-29 15:29:02.923063,24.062,24.437
2020-04-29 15:30:05.645252,24.062,24.437
2020-04-29 15:31:07.485280,24.062,24.437
2020-04-29 15:32:09.325588,24.062,24.437
2020-04-29 15:33:11.172417,24.062,24.437
2020-04-29 15:34:13.883003,24.062,24.437
2020-04-29 15:35:15.723111,24.062,24.437
2020-04-29 15:36:17.562123,24.062,24.437
2020-04-29 15:37:19.403055,24.062,24.437
2020-04-29 15:38:21.243065,24.062,24.437
2020-04-29 15:39:23.963112,24.062,24.437
2020-04-29 15:40:25.803101,24.062,24.437
2020-04-29 15:41:27.643090,24.062,24.437
2020-04-29 15:42:29.483060,24.062,24.437
2020-04-29 15:43:31.323086,24.062,24.437
2020-04-29 15:44:33.163019,24.062,24.437
2020-04-29 15:45:35.003055,24.062,24.437
2020-04-29 15:46:36.843027,24.062,24.437
2020-04-29 15:47:40.443177,24.062,24.437
2020-04-29 15:48:42.285452,24.062,24.437
2020-04-29 15:49:44.123127,24.062,24.437
2020-04-29 15:50:45.963114,24.125,24.437
2020-04-29 15:51:47.803085,24.062,24.437
2020-04-29 15:52:50.522099,24.125,24.437
2020-04-29 15:53:52.363113,24.125,24.437
2020-04-29 15:54:54.203062,24.125,24.437
2020-04-29 15:55:56.042123,24.125,24.437
2020-04-29 15:56:57.883025,24.125,24.437
2020-04-29 15:57:59.723063,24.125,24.437
2020-04-29 15:59:01.562119,24.125,24.437
2020-04-29 16:00:04.283096,24.125,24.437
2020-04-29 16:01:06.123039,24.125,24.437
2020-04-29 16:02:07.963095,24.125,24.437
